open_time,open,high,low,close,volume,close_time
2025-12-12T10:41:00.000Z,92418.47000000,92447.71000000,92418.47000000,92438.68000000,11.41910000,2025-12-12T10:41:59.999Z
2025-12-12T10:42:00.000Z,92438.68000000,92456.96000000,92438.68000000,92440.06000000,1.70433000,2025-12-12T10:42:59.999Z
2025-12-12T10:43:00.000Z,92440.05000000,92440.06000000,92418.32000000,92418.32000000,9.44888000,2025-12-12T10:43:59.999Z
2025-12-12T10:44:00.000Z,92418.32000000,92425.84000000,92418.18000000,92425.84000000,2.51023000,2025-12-12T10:44:59.999Z
2025-12-12T10:45:00.000Z,92425.84000000,92427.50000000,92415.66000000,92417.14000000,11.73894000,2025-12-12T10:45:59.999Z
2025-12-12T10:46:00.000Z,92417.14000000,92428.70000000,92411.10000000,92421.46000000,3.04433000,2025-12-12T10:46:59.999Z
2025-12-12T10:47:00.000Z,92421.46000000,92450.34000000,92413.39000000,92436.94000000,2.39067000,2025-12-12T10:47:59.999Z
2025-12-12T10:48:00.000Z,92436.94000000,92482.85000000,92436.93000000,92482.39000000,2.98929000,2025-12-12T10:48:59.999Z
2025-12-12T10:49:00.000Z,92482.39000000,92536.40000000,92482.38000000,92536.40000000,4.37383000,2025-12-12T10:49:59.999Z
2025-12-12T10:50:00.000Z,92536.40000000,92573.49000000,92522.53000000,92560.62000000,6.71975000,2025-12-12T10:50:59.999Z
2025-12-12T10:51:00.000Z,92560.62000000,92560.62000000,92506.49000000,92516.83000000,2.66598000,2025-12-12T10:51:59.999Z
2025-12-12T10:52:00.000Z,92516.83000000,92532.42000000,92506.49000000,92532.41000000,2.29643000,2025-12-12T10:52:59.999Z
2025-12-12T10:53:00.000Z,92532.42000000,92554.70000000,92532.41000000,92537.85000000,5.71804000,2025-12-12T10:53:59.999Z
2025-12-12T10:54:00.000Z,92537.85000000,92554.72000000,92524.53000000,92539.22000000,11.66272000,2025-12-12T10:54:59.999Z
2025-12-12T10:55:00.000Z,92539.23000000,92539.23000000,92520.07000000,92520.07000000,8.37522000,2025-12-12T10:55:59.999Z
2025-12-12T10:56:00.000Z,92520.08000000,92525.45000000,92520.07000000,92520.56000000,0.84278000,2025-12-12T10:56:59.999Z
2025-12-12T10:57:00.000Z,92520.56000000,92558.44000000,92520.56000000,92558.44000000,1.80310000,2025-12-12T10:57:59.999Z
2025-12-12T10:58:00.000Z,92558.44000000,92558.44000000,92522.04000000,92522.04000000,1.27828000,2025-12-12T10:58:59.999Z
2025-12-12T10:59:00.000Z,92522.04000000,92522.05000000,92492.32000000,92492.32000000,2.69249000,2025-12-12T10:59:59.999Z
2025-12-12T11:00:00.000Z,92492.32000000,92492.33000000,92392.59000000,92392.59000000,6.76183000,2025-12-12T11:00:59.999Z
2025-12-12T11:01:00.000Z,92392.58000000,92437.30000000,92370.87000000,92437.29000000,1.98075000,2025-12-12T11:01:59.999Z
2025-12-12T11:02:00.000Z,92437.29000000,92469.25000000,92435.91000000,92455.80000000,5.09403000,2025-12-12T11:02:59.999Z
2025-12-12T11:03:00.000Z,92455.80000000,92467.12000000,92450.06000000,92453.00000000,1.39023000,2025-12-12T11:03:59.999Z
2025-12-12T11:04:00.000Z,92453.00000000,92453.00000000,92421.94000000,92421.94000000,1.68842000,2025-12-12T11:04:59.999Z
2025-12-12T11:05:00.000Z,92421.94000000,92467.12000000,92418.26000000,92452.99000000,4.72077000,2025-12-12T11:05:59.999Z
2025-12-12T11:06:00.000Z,92452.99000000,92452.99000000,92422.39000000,92422.41000000,2.05451000,2025-12-12T11:06:59.999Z
2025-12-12T11:07:00.000Z,92422.41000000,92422.41000000,92408.94000000,92408.94000000,2.29893000,2025-12-12T11:07:59.999Z
2025-12-12T11:08:00.000Z,92408.95000000,92408.95000000,92376.71000000,92386.72000000,17.76671000,2025-12-12T11:08:59.999Z
2025-12-12T11:09:00.000Z,92386.72000000,92397.85000000,92378.10000000,92397.84000000,2.61369000,2025-12-12T11:09:59.999Z
2025-12-12T11:10:00.000Z,92397.84000000,92414.34000000,92397.84000000,92414.33000000,1.42432000,2025-12-12T11:10:59.999Z
2025-12-12T11:11:00.000Z,92414.34000000,92414.34000000,92401.61000000,92410.85000000,1.65536000,2025-12-12T11:11:59.999Z
2025-12-12T11:12:00.000Z,92410.86000000,92410.86000000,92401.18000000,92401.19000000,2.40012000,2025-12-12T11:12:59.999Z
2025-12-12T11:13:00.000Z,92401.19000000,92401.19000000,92366.06000000,92366.06000000,1.62744000,2025-12-12T11:13:59.999Z
2025-12-12T11:14:00.000Z,92366.07000000,92400.01000000,92366.00000000,92400.01000000,3.03408000,2025-12-12T11:14:59.999Z
2025-12-12T11:15:00.000Z,92400.01000000,92400.01000000,92352.66000000,92352.67000000,1.47076000,2025-12-12T11:15:59.999Z
2025-12-12T11:16:00.000Z,92352.66000000,92364.67000000,92340.87000000,92340.89000000,5.67027000,2025-12-12T11:16:59.999Z
2025-12-12T11:17:00.000Z,92340.90000000,92340.90000000,92300.00000000,92300.01000000,5.35159000,2025-12-12T11:17:59.999Z
2025-12-12T11:18:00.000Z,92300.01000000,92350.01000000,92300.00000000,92315.79000000,15.67646000,2025-12-12T11:18:59.999Z
2025-12-12T11:19:00.000Z,92315.80000000,92315.80000000,92275.86000000,92275.86000000,5.55326000,2025-12-12T11:19:59.999Z
2025-12-12T11:20:00.000Z,92275.86000000,92321.43000000,92275.86000000,92317.84000000,9.30712000,2025-12-12T11:20:59.999Z
2025-12-12T11:21:00.000Z,92317.84000000,92323.77000000,92317.83000000,92323.77000000,1.88848000,2025-12-12T11:21:59.999Z
2025-12-12T11:22:00.000Z,92323.77000000,92328.38000000,92315.79000000,92321.95000000,9.62024000,2025-12-12T11:22:59.999Z
2025-12-12T11:23:00.000Z,92321.95000000,92328.38000000,92321.95000000,92328.38000000,1.43552000,2025-12-12T11:23:59.999Z
2025-12-12T11:24:00.000Z,92328.37000000,92332.67000000,92320.97000000,92320.98000000,3.45432000,2025-12-12T11:24:59.999Z
2025-12-12T11:25:00.000Z,92320.98000000,92368.89000000,92320.97000000,92368.88000000,3.57507000,2025-12-12T11:25:59.999Z
2025-12-12T11:26:00.000Z,92368.88000000,92379.16000000,92352.65000000,92367.56000000,2.38209000,2025-12-12T11:26:59.999Z
2025-12-12T11:27:00.000Z,92367.57000000,92396.25000000,92358.08000000,92396.24000000,2.04777000,2025-12-12T11:27:59.999Z
2025-12-12T11:28:00.000Z,92396.25000000,92396.25000000,92362.29000000,92362.29000000,1.04472000,2025-12-12T11:28:59.999Z
2025-12-12T11:29:00.000Z,92362.30000000,92362.30000000,92362.29000000,92362.30000000,0.99559000,2025-12-12T11:29:59.999Z
2025-12-12T11:30:00.000Z,92362.30000000,92380.55000000,92362.29000000,92362.69000000,1.49736000,2025-12-12T11:30:59.999Z
2025-12-12T11:31:00.000Z,92362.69000000,92380.00000000,92360.00000000,92380.00000000,2.57297000,2025-12-12T11:31:59.999Z
2025-12-12T11:32:00.000Z,92380.00000000,92380.00000000,92368.66000000,92368.66000000,0.89654000,2025-12-12T11:32:59.999Z
2025-12-12T11:33:00.000Z,92368.66000000,92380.00000000,92368.66000000,92380.00000000,1.54957000,2025-12-12T11:33:59.999Z
2025-12-12T11:34:00.000Z,92379.99000000,92393.38000000,92379.99000000,92387.68000000,1.89454000,2025-12-12T11:34:59.999Z
2025-12-12T11:35:00.000Z,92387.68000000,92418.19000000,92372.51000000,92372.52000000,8.58695000,2025-12-12T11:35:59.999Z
2025-12-12T11:36:00.000Z,92372.51000000,92377.17000000,92349.99000000,92349.99000000,2.71722000,2025-12-12T11:36:59.999Z
2025-12-12T11:37:00.000Z,92349.99000000,92350.00000000,92302.58000000,92314.48000000,5.81246000,2025-12-12T11:37:59.999Z
2025-12-12T11:38:00.000Z,92314.47000000,92323.30000000,92314.47000000,92319.28000000,1.81196000,2025-12-12T11:38:59.999Z
2025-12-12T11:39:00.000Z,92319.28000000,92319.63000000,92305.44000000,92319.63000000,1.75335000,2025-12-12T11:39:59.999Z
2025-12-12T11:40:00.000Z,92319.62000000,92325.41000000,92304.49000000,92304.50000000,4.72842000,2025-12-12T11:40:59.999Z
2025-12-12T11:41:00.000Z,92304.50000000,92368.76000000,92304.49000000,92368.75000000,4.31568000,2025-12-12T11:41:59.999Z
2025-12-12T11:42:00.000Z,92368.76000000,92375.50000000,92358.15000000,92375.50000000,0.80192000,2025-12-12T11:42:59.999Z
2025-12-12T11:43:00.000Z,92375.49000000,92384.73000000,92374.70000000,92384.72000000,1.50839000,2025-12-12T11:43:59.999Z
2025-12-12T11:44:00.000Z,92384.72000000,92384.72000000,92366.26000000,92371.64000000,2.50622000,2025-12-12T11:44:59.999Z
2025-12-12T11:45:00.000Z,92371.02000000,92371.02000000,92330.32000000,92339.11000000,2.42666000,2025-12-12T11:45:59.999Z
2025-12-12T11:46:00.000Z,92339.11000000,92358.34000000,92339.11000000,92352.65000000,3.87446000,2025-12-12T11:46:59.999Z
2025-12-12T11:47:00.000Z,92352.65000000,92352.66000000,92346.90000000,92346.90000000,1.21620000,2025-12-12T11:47:59.999Z
2025-12-12T11:48:00.000Z,92346.90000000,92357.58000000,92334.17000000,92357.58000000,5.59862000,2025-12-12T11:48:59.999Z
2025-12-12T11:49:00.000Z,92357.58000000,92368.22000000,92348.58000000,92368.22000000,1.74193000,2025-12-12T11:49:59.999Z
2025-12-12T11:50:00.000Z,92368.22000000,92380.00000000,92368.21000000,92380.00000000,1.13060000,2025-12-12T11:50:59.999Z
2025-12-12T11:51:00.000Z,92379.99000000,92380.00000000,92360.86000000,92360.86000000,2.62120000,2025-12-12T11:51:59.999Z
2025-12-12T11:52:00.000Z,92360.87000000,92371.09000000,92358.06000000,92371.08000000,1.18443000,2025-12-12T11:52:59.999Z
2025-12-12T11:53:00.000Z,92371.09000000,92371.11000000,92371.08000000,92371.11000000,0.57034000,2025-12-12T11:53:59.999Z
2025-12-12T11:54:00.000Z,92371.11000000,92384.73000000,92371.10000000,92384.73000000,2.35570000,2025-12-12T11:54:59.999Z
2025-12-12T11:55:00.000Z,92384.72000000,92384.73000000,92371.26000000,92371.26000000,1.93244000,2025-12-12T11:55:59.999Z
2025-12-12T11:56:00.000Z,92371.26000000,92381.67000000,92371.26000000,92381.67000000,1.31993000,2025-12-12T11:56:59.999Z
2025-12-12T11:57:00.000Z,92381.67000000,92388.88000000,92353.80000000,92360.55000000,8.51550000,2025-12-12T11:57:59.999Z
2025-12-12T11:58:00.000Z,92360.56000000,92387.79000000,92360.55000000,92387.79000000,1.25344000,2025-12-12T11:58:59.999Z
2025-12-12T11:59:00.000Z,92387.80000000,92418.19000000,92381.16000000,92418.19000000,3.04994000,2025-12-12T11:59:59.999Z
2025-12-12T12:00:00.000Z,92418.19000000,92418.19000000,92371.99000000,92371.99000000,5.59546000,2025-12-12T12:00:59.999Z
2025-12-12T12:01:00.000Z,92372.00000000,92372.00000000,92333.05000000,92343.47000000,11.08907000,2025-12-12T12:01:59.999Z
2025-12-12T12:02:00.000Z,92343.47000000,92343.48000000,92320.05000000,92320.05000000,7.70345000,2025-12-12T12:02:59.999Z
2025-12-12T12:03:00.000Z,92320.06000000,92335.78000000,92320.05000000,92331.09000000,14.01792000,2025-12-12T12:03:59.999Z
2025-12-12T12:04:00.000Z,92331.10000000,92358.06000000,92276.80000000,92293.59000000,22.56568000,2025-12-12T12:04:59.999Z
2025-12-12T12:05:00.000Z,92293.60000000,92318.32000000,92293.59000000,92303.01000000,7.15044000,2025-12-12T12:05:59.999Z
2025-12-12T12:06:00.000Z,92303.01000000,92308.41000000,92250.00000000,92256.46000000,15.17711000,2025-12-12T12:06:59.999Z
2025-12-12T12:07:00.000Z,92256.46000000,92266.79000000,92242.60000000,92242.60000000,11.12120000,2025-12-12T12:07:59.999Z
2025-12-12T12:08:00.000Z,92242.61000000,92260.01000000,92242.60000000,92260.01000000,7.61921000,2025-12-12T12:08:59.999Z
2025-12-12T12:09:00.000Z,92260.01000000,92260.01000000,92247.34000000,92250.03000000,9.92211000,2025-12-12T12:09:59.999Z
2025-12-12T12:10:00.000Z,92250.03000000,92250.76000000,92247.34000000,92247.34000000,6.52217000,2025-12-12T12:10:59.999Z
2025-12-12T12:11:00.000Z,92247.34000000,92252.00000000,92247.32000000,92251.99000000,11.31925000,2025-12-12T12:11:59.999Z
2025-12-12T12:12:00.000Z,92252.00000000,92252.00000000,92250.00000000,92250.00000000,5.94409000,2025-12-12T12:12:59.999Z
2025-12-12T12:13:00.000Z,92250.00000000,92250.01000000,92250.00000000,92250.00000000,10.90220000,2025-12-12T12:13:59.999Z
2025-12-12T12:14:00.000Z,92250.00000000,92250.01000000,92250.00000000,92250.00000000,7.77717000,2025-12-12T12:14:59.999Z
2025-12-12T12:15:00.000Z,92250.01000000,92250.01000000,92242.60000000,92250.00000000,7.96157000,2025-12-12T12:15:59.999Z
2025-12-12T12:16:00.000Z,92250.01000000,92270.00000000,92250.00000000,92257.39000000,14.46270000,2025-12-12T12:16:59.999Z
2025-12-12T12:17:00.000Z,92257.40000000,92257.40000000,92257.39000000,92257.39000000,5.80570000,2025-12-12T12:17:59.999Z
2025-12-12T12:18:00.000Z,92257.40000000,92264.68000000,92257.39000000,92262.21000000,8.16934000,2025-12-12T12:18:59.999Z
2025-12-12T12:19:00.000Z,92262.22000000,92262.22000000,92251.96000000,92260.33000000,8.18892000,2025-12-12T12:19:59.999Z
2025-12-12T12:20:00.000Z,92260.34000000,92260.34000000,92248.11000000,92255.30000000,9.01467000,2025-12-12T12:20:59.999Z
2025-12-12T12:21:00.000Z,92255.30000000,92274.20000000,92255.29000000,92274.19000000,9.22992000,2025-12-12T12:21:59.999Z
2025-12-12T12:22:00.000Z,92274.20000000,92290.83000000,92274.19000000,92289.39000000,9.16898000,2025-12-12T12:22:59.999Z
2025-12-12T12:23:00.000Z,92289.40000000,92290.78000000,92276.68000000,92276.69000000,7.04484000,2025-12-12T12:23:59.999Z
2025-12-12T12:24:00.000Z,92276.69000000,92285.00000000,92276.68000000,92285.00000000,2.38326000,2025-12-12T12:24:59.999Z
2025-12-12T12:25:00.000Z,92285.00000000,92285.00000000,92240.62000000,92240.63000000,7.85933000,2025-12-12T12:25:59.999Z
2025-12-12T12:26:00.000Z,92240.62000000,92251.54000000,92240.62000000,92240.69000000,5.32380000,2025-12-12T12:26:59.999Z
2025-12-12T12:27:00.000Z,92240.68000000,92248.08000000,92189.00000000,92190.63000000,12.84621000,2025-12-12T12:27:59.999Z
2025-12-12T12:28:00.000Z,92190.63000000,92204.80000000,92173.43000000,92173.43000000,7.24358000,2025-12-12T12:28:59.999Z
2025-12-12T12:29:00.000Z,92173.44000000,92182.65000000,92173.43000000,92182.65000000,6.69776000,2025-12-12T12:29:59.999Z
2025-12-12T12:30:00.000Z,92182.64000000,92233.41000000,92182.64000000,92233.40000000,4.53762000,2025-12-12T12:30:59.999Z
2025-12-12T12:31:00.000Z,92233.41000000,92242.62000000,92170.00000000,92170.00000000,26.51193000,2025-12-12T12:31:59.999Z
2025-12-12T12:32:00.000Z,92170.00000000,92174.93000000,92164.26000000,92174.92000000,7.28776000,2025-12-12T12:32:59.999Z
